,Sentence,Intent,Color,Item
129,I want to take a body do you still have,Making Order,unknown,body
130,dnzgxqnperklmscai,unknown,unknown,unknown
131,ngcyhfjnu,unknown,unknown,unknown
132,what about gray shoes,Check Availability,gray,shoes
133,zfh,unknown,unknown,unknown
134,ecual,unknown,unknown,unknown
135,giqtgswrilmn,unknown,unknown,unknown
136,wkhilmaahxdceviu,unknown,unknown,unknown
137,jjjtapap,unknown,unknown,unknown
138,I need to add a shoes is there available,Making Order,unknown,shoes
139,krwncqzhzcychjqo,unknown,unknown,unknown
140,kxppbx,unknown,unknown,unknown
141,jiyow,unknown,unknown,unknown
142,suewjggbx,unknown,unknown,unknown
143,qnoggyhpxxra,unknown,unknown,unknown
144,qazypjdhutlmuo,unknown,unknown,unknown
145,uxgilmqbe,unknown,unknown,unknown
146,iqdbbyyyntbk,unknown,unknown,unknown
147,chlmcgdyvoyupojgbu,unknown,unknown,unknown
148,zdecbzctb,unknown,unknown,unknown
149,sop,unknown,unknown,unknown
150,kejzqef,unknown,unknown,unknown
151,znwgzzrtpzjeyvvsaib,unknown,unknown,unknown
152,eichwgpkwaxb,unknown,unknown,unknown
153,psthvqgxpbzfn,unknown,unknown,unknown
154,djgaswzqycsihlmofoo,unknown,unknown,unknown
155,some chemise,unknown,unknown,chemise
156,do you still have a pink shoes,Check Availability,pink,shoes
157,ytzlmrpibfh,unknown,unknown,unknown
158,jrlmqeykcevenekzknk,unknown,unknown,unknown
159,cqnfb,unknown,unknown,unknown
160,fswtrvgxgfocokl,unknown,unknown,unknown
161,dzdftqtv,unknown,unknown,unknown
162,iuuojsvupoy,unknown,unknown,unknown
163,clmfpilmcntsqf,unknown,unknown,unknown
164,htngeyulmzargzptt,unknown,unknown,unknown
165,ydkbuvrxvobr,unknown,unknown,unknown
166,nkpgxlmadclm,unknown,unknown,unknown
167,srseuan,unknown,unknown,unknown
168,azxhiv,unknown,unknown,unknown
169,yktokhyduxppdo,unknown,unknown,unknown
170,duezrwzjh,unknown,unknown,unknown
171,zzvjlmknq,unknown,unknown,unknown
172,oikuekqxpsxchfjh,unknown,unknown,unknown
173,akbfsiauawrgw,unknown,unknown,unknown
174,gzc,unknown,unknown,unknown
175,is there a gray chemise,Check Availability,gray,chemise
176,wentwszv,unknown,unknown,unknown
177,gvhtarwrfbtulmgt,unknown,unknown,unknown
178,nwadnq,unknown,unknown,unknown
179,vagohkgpbyeecqdj,unknown,unknown,unknown
180,takuqcqn,unknown,unknown,unknown
181,some olive hat,Check Availability,olive,hat
182,rkjlmrhgsvdxexxucvq,unknown,unknown,unknown
183,erddquvwaphhyiguilm,unknown,unknown,unknown
184,kbzdjeco,unknown,unknown,unknown
185,wcelmajoyrbdksx,unknown,unknown,unknown
186,oerufrflm,unknown,unknown,unknown
187,zfgcysutjwjpavyz,unknown,unknown,unknown
188,I would like to buy a i am looking for,Making Order,unknown,unknown
189,ifopwsd,unknown,unknown,unknown
190,ksuste,unknown,unknown,unknown
191,gyb,unknown,unknown,unknown
192,otuiqvzzdjsef,unknown,unknown,unknown
193,gfhgyczxrlmqkwcex,unknown,unknown,unknown
194,bfddobieqi,unknown,unknown,unknown
195,kedq,unknown,unknown,unknown
196,etdlmffdxclmdd,unknown,unknown,unknown
197,enl,unknown,unknown,unknown
198,iwtcoszl,unknown,unknown,unknown
199,rfoba,unknown,unknown,unknown
200,znxtlmfglmguogpg,unknown,unknown,unknown
201,is the green dress expensive ?,Check Availability,green,dress
202,psglmnke,unknown,unknown,unknown
203,dvebvk,unknown,unknown,unknown
204,uhdirwblmwo,unknown,unknown,unknown
205,I'd like to order a is there,Making Order,unknown,unknown
206,isqtfxqagueubcuj,unknown,unknown,unknown
207,grvzojrauqkrf,unknown,unknown,unknown
208,I want to order a jeans do you have,Making Order,unknown,jeans
209,jcdvjwk,unknown,unknown,unknown
210,rfvwycpez,unknown,unknown,unknown
211,thnk,unknown,unknown,unknown
212,some olive jacket,Check Availability,olive,jacket
213,kxfqhyzh,unknown,unknown,unknown
214,njorsxoau,unknown,unknown,unknown
215,vtvoztcjfsxppkl,unknown,unknown,unknown
216,what about the blue t-shirt,Check Availability,blue,t-shirt
217,pntdfbvkysgw,unknown,unknown,unknown
218,qwzdihxcb,unknown,unknown,unknown
219,ewnjqgzjdx,unknown,unknown,unknown
220,They were playing a game,unknown,unknown,unknown
221,tbxbrlmvku,unknown,unknown,unknown
222,ojvlmithbywn,unknown,unknown,unknown
223,qfzwfcdwkh,unknown,unknown,unknown
224,cq,unknown,unknown,unknown
225,ujfczboeb,unknown,unknown,unknown
226,foplmdzlmceonhpx,unknown,unknown,unknown
227,nnuyfrzjrrupqrquz,unknown,unknown,unknown
228,wruxauiakfspx,unknown,unknown,unknown
229,almzdiwkttts,unknown,unknown,unknown
230,yrwknyykuvglmkknx,unknown,unknown,unknown
231,qkupbc,unknown,unknown,unknown
232,xty,unknown,unknown,unknown
233,ewtr,unknown,unknown,unknown
234,wrfuoozrbidgezkjvj,unknown,unknown,unknown
235,rhczvbfefxf,unknown,unknown,unknown
236,pbtfacogncexfwoar,unknown,unknown,unknown
237,qdhknucbobhbchhbkh,unknown,unknown,unknown
238,what about the black shoes,Check Availability,black,shoes
239,falm,unknown,unknown,unknown
240,lmyoud,unknown,unknown,unknown
241,dfphququrta,unknown,unknown,unknown
242,xvppgjz,unknown,unknown,unknown
243,drvar,unknown,unknown,unknown
244,ceuzk,unknown,unknown,unknown
245,eozfjzun,unknown,unknown,unknown
246,pxkgzqpkrycfs,unknown,unknown,unknown
247,rcjdcsnfae,unknown,unknown,unknown
248,I'd like to take a chemise i am looking for,Making Order,unknown,chemise
249,lmyepubqovtinepl,unknown,unknown,unknown
250,exnkjwwgasqzk,unknown,unknown,unknown
251,hrtvizep,unknown,unknown,unknown
252,zqveilmgpssogbioy,unknown,unknown,unknown
253,kspbktoard,unknown,unknown,unknown
254,qned,unknown,unknown,unknown
255,hgbfdah,unknown,unknown,unknown
256,yesxb,unknown,unknown,unknown
257,is there a purple pullover,Check Availability,purple,pullover
258,cwhvwphcfdqeq,unknown,unknown,unknown
259,naqc,unknown,unknown,unknown
260,drc,unknown,unknown,unknown
261,ilmlmejflmku,unknown,unknown,unknown
262,aqvybgoblmd,unknown,unknown,unknown
263,xiqwuwystsp,unknown,unknown,unknown
264,typbfjaso,unknown,unknown,unknown
265,qjtaexprfhnk,unknown,unknown,unknown
266,sbrrsjhx,unknown,unknown,unknown
267,vofgkqhudlmsil,unknown,unknown,unknown
268,kazwtcsryn,unknown,unknown,unknown
269,cbjaw,unknown,unknown,unknown
270,iqjwvugtvwjat,unknown,unknown,unknown
271,ccutflmpblmecy,unknown,unknown,unknown
272,evqpa,unknown,unknown,unknown
273,swxoecpzhb,unknown,unknown,unknown
274,bwuaoxuxscq,unknown,unknown,unknown
275,piadrpeqez,unknown,unknown,unknown
276,what about a blue dress,Check Availability,blue,dress
277,qfbqaiiigjpwhsbb,unknown,unknown,unknown
278,i am looking for a orange jacket,Check Availability,orange,jacket
279,qh,unknown,unknown,unknown
280,qoptlmurpynlmuujtf,unknown,unknown,unknown
281,arssanoqqccsnwax,unknown,unknown,unknown
282,aqqdsuvuourbr,unknown,unknown,unknown
283,lmefr,unknown,unknown,unknown
284,fbcvk,unknown,unknown,unknown
285,rocrxnfoap,unknown,unknown,unknown
286,ilmf,unknown,unknown,unknown
287,I would like to take a do you still have,Making Order,unknown,unknown
288,akvaetvp,unknown,unknown,unknown
289,hefa,unknown,unknown,unknown
290,what about the red jacket,Check Availability,red,jacket
291,iuxbtoiyjnkvto,unknown,unknown,unknown
292,kondhxqqgdbejhceznj,unknown,unknown,unknown
293,zhudppkcogpu,unknown,unknown,unknown
294,I need to take a skirt is there,Making Order,unknown,skirt
295,jpakdyp,unknown,unknown,unknown
296,qrjfskvsfkktnrijsep,unknown,unknown,unknown
297,ciwtc,unknown,unknown,unknown
298,ujbhdlmqxxqzxqeaxt,unknown,unknown,unknown
299,I would like to add a body do you still have,Making Order,unknown,body
300,bibclmysgttklmqayv,unknown,unknown,unknown
301,zxydbik,unknown,unknown,unknown
302,qgvagknsyqabhcoah,unknown,unknown,unknown
303,vtwshczkc,unknown,unknown,unknown
304,pgxlmccpuzakolmlmq,unknown,unknown,unknown
305,jkocb,unknown,unknown,unknown
306,wkeyjrcjbsawlmpeppt,unknown,unknown,unknown
307,eewlmxw,unknown,unknown,unknown
308,qvicyhfscbowstudp,unknown,unknown,unknown
309,hjehvezejykkc,unknown,unknown,unknown
310,vthuh,unknown,unknown,unknown
311,gkccjwi,unknown,unknown,unknown
312,ybybfvkojrjntvehtod,unknown,unknown,unknown
313,tjwtwbvu,unknown,unknown,unknown
314,envcowyerpkroi,unknown,unknown,unknown
315,huhzjhtvpqftadktyx,unknown,unknown,unknown
316,sjyckui,unknown,unknown,unknown
317,rfciosnlmncakzub,unknown,unknown,unknown
318,dkijpbevnwwapgfibzj,unknown,unknown,unknown
319,pjgyshprdwnyhzlmoce,unknown,unknown,unknown
320,ciqrtvuzxkqnovukkaz,unknown,unknown,unknown
321,isp,unknown,unknown,unknown
322,I would like to take a chemise can i find,Making Order,unknown,chemise
323,ufodlms,unknown,unknown,unknown
324,jftbbee,unknown,unknown,unknown
325,tbkpg,unknown,unknown,unknown
326,aaytcxqbo,unknown,unknown,unknown
327,zdiy,unknown,unknown,unknown
328,xcdiwoqxyhjtf,unknown,unknown,unknown
329,ukzxgoofh,unknown,unknown,unknown
330,scwsdenzfkjzxlmx,unknown,unknown,unknown
331,vkrheqeplmsfpo,unknown,unknown,unknown
332,nevbtokqwsvcgtvacw,unknown,unknown,unknown
333,eojsfxvoznnucod,unknown,unknown,unknown
334,npnktblmociockzpcyb,unknown,unknown,unknown
335,sooolmppkgo,unknown,unknown,unknown
336,zwhhakjev,unknown,unknown,unknown
337,qjyuoqgoehkxbwvc,unknown,unknown,unknown
338,fvduwph,unknown,unknown,unknown
339,tsnttjylmgujd,unknown,unknown,unknown
340,kpbo,unknown,unknown,unknown
341,ixfaz,unknown,unknown,unknown
342,dhtrqoakiitptt,unknown,unknown,unknown
343,hytjc,unknown,unknown,unknown
344,wvplmlmd,unknown,unknown,unknown
345,I'd like to buy a t-shirt do you have,Making Order,unknown,t-shirt
346,fkszgaglmod,unknown,unknown,unknown
347,rqjsaduebgtepjlmj,unknown,unknown,unknown
348,aevlmaw,unknown,unknown,unknown
349,gbwwbsk,unknown,unknown,unknown
350,I want to buy a pantalon may i ask for,Making Order,unknown,pantalon
351,cpggpxgg,unknown,unknown,unknown
352,I want to add a chemise is there available,Making Order,unknown,chemise
353,xhvsnqeidnbpxpqnw,unknown,unknown,unknown
354,oerwdaiyqrxeupe,unknown,unknown,unknown
355,fpp,unknown,unknown,unknown
356,cndto,unknown,unknown,unknown
357,tkjrchol,unknown,unknown,unknown
358,nkbs,unknown,unknown,unknown
359,dpl,unknown,unknown,unknown
360,how much does a blue skirt cost,Asking for the price,blue,skirt
361,aq,unknown,unknown,unknown
362,thqgilmoaqvsfzosw,unknown,unknown,unknown
363,zvbhs,unknown,unknown,unknown
364,kigfvrxzq,unknown,unknown,unknown
365,axkjfxgwbivvywhwizg,unknown,unknown,unknown
366,qbirrzlmlmrvbnrej,unknown,unknown,unknown
367,jvv,unknown,unknown,unknown
368,diwzx,unknown,unknown,unknown
369,bbcrxorjju,unknown,unknown,unknown
370,jydkylmtsekaddrcro,Making Order,unknown,unknown
371,jlmylmfih,unknown,unknown,unknown
372,qqdsckhoxylmfyh,unknown,unknown,unknown
373,qctoqsspb,unknown,unknown,unknown
374,It is playing a game,unknown,unknown,unknown
375,xgbodazfal,unknown,unknown,unknown
376,nnhjpszoxwbgdlmnu,unknown,unknown,unknown
377,yrkkueri,unknown,unknown,unknown
378,tnkadtwztktphfxcnl,unknown,unknown,unknown
379,i am looking for a red shoes,Check Availability,red,shoes
380,lmrflmfunejfvu,unknown,unknown,unknown
381,hogbb,unknown,unknown,unknown
382,djayqlmkhtjatxivka,unknown,unknown,unknown
383,nqspdlmkgylmcxseuyu,unknown,unknown,unknown
384,plmhrjapsffvjcyucow,unknown,unknown,unknown
385,vwcpektqwgok,unknown,unknown,unknown
386,zcklmyjlmpvpwgfqlm,unknown,unknown,unknown
387,is there a red jacket,Check Availability,red,jacket
388,rdazlmofhprn,unknown,unknown,unknown
389,yyirgzekvxac,unknown,unknown,unknown
390,wteppdjzth,unknown,unknown,unknown
391,lmqbide,unknown,unknown,unknown
392,zkqylm,unknown,unknown,unknown
393,xl,unknown,unknown,unknown
394,I want to add a shoes i am looking for,Making Order,unknown,shoes
395,some black jacket,Check Availability,black,jacket
396,fqlm,unknown,unknown,unknown
397,aioubeabnjsdv,unknown,unknown,unknown
398,paibeavoewsikzjfht,unknown,unknown,unknown
399,ifwrugrkcnqcz,unknown,unknown,unknown
400,dlmcizcxkdn,unknown,unknown,unknown
401,I'd like to take a pantalon do you have,Making Order,unknown,pantalon
402,atuxlmbkccsl,unknown,unknown,unknown
403,ngzbodpcdpdcsuptrkk,unknown,unknown,unknown
404,okvutysurianvtslmri,unknown,unknown,unknown
405,dlmadlm,unknown,unknown,unknown
406,aerndj,unknown,unknown,unknown
407,do you have a gray body,Check Availability,gray,body
408,pncp,unknown,unknown,unknown
409,yduwpbt,unknown,unknown,unknown
410,is there a orange t-shirt,Check Availability,orange,t-shirt
411,do you have a orange jeans,Check Availability,orange,jeans
412,gjtocs,unknown,unknown,unknown
413,xaxnlmxuuicrqua,unknown,unknown,unknown
414,oerjzzwaudou,unknown,unknown,unknown
415,yqnzusvqqvjsnhx,unknown,unknown,unknown
416,lmjdrreoqlm,unknown,unknown,unknown
417,upzlmpy,unknown,unknown,unknown
418,lmnpd,unknown,unknown,unknown
419,lmsdoszclmcp,unknown,unknown,unknown
420,qqecffczp,unknown,unknown,unknown
421,wuoqiopcgyvkpyenp,unknown,unknown,unknown
422,jqpplmxrpscwyupdu,unknown,unknown,unknown
423,cgyntwxufxtqlma,unknown,unknown,unknown
424,wvjqqe,unknown,unknown,unknown
425,irjfq,unknown,unknown,unknown
426,I would like to order a shoes do you still have,Making Order,unknown,shoes
427,jcryckgfntiwygkcjwe,unknown,unknown,unknown
428,aeyjdhacgyea,unknown,unknown,unknown
429,zgkctq,unknown,unknown,unknown
430,qpbiu,unknown,unknown,unknown
431,bhq,unknown,unknown,unknown
432,vwobtuxlmxuohfdl,unknown,unknown,unknown
433,gxqukkky,unknown,unknown,unknown
434,gokxfxrl,unknown,unknown,unknown
435,uefj,unknown,unknown,unknown
436,ilmutlmpen,unknown,unknown,unknown
437,uo,unknown,unknown,unknown
438,tevvysauhzt,unknown,unknown,unknown
439,aeyw,unknown,unknown,unknown
440,iexgj,unknown,unknown,unknown
441,gjodhgnsxzjdfahar,unknown,unknown,unknown
442,is there available a cyan skirt,Check Availability,cyan,skirt
443,is there a red t-shirt,Check Availability,red,t-shirt
444,judzpz,unknown,unknown,unknown
445,qcowcnurxadixtv,unknown,unknown,unknown
446,pstuzojf,unknown,unknown,unknown
447,I'd like to take a shoes i am looking for,Making Order,unknown,shoes
448,abzxnnkyqtvudeb,unknown,unknown,unknown
449,is there available a yellow body,Check Availability,yellow,body
450,azjtzr,unknown,unknown,unknown
451,qeubzanz,unknown,unknown,unknown
452,etsfkfvnj,unknown,unknown,unknown
453,unsk,unknown,unknown,unknown
454,vflmpsziupdfbhdwwa,unknown,unknown,unknown
455,pkas,unknown,unknown,unknown
456,tovpnpzeefvd,unknown,unknown,unknown
457,quvzisskfkqq,unknown,unknown,unknown
458,utlmhcctzsshqyaawtn,unknown,unknown,unknown
459,is there available a gray shoes,Check Availability,gray,shoes
460,blmjzqnrhh,unknown,unknown,unknown
461,iwjatcbboyv,unknown,unknown,unknown
462,qpvqnvxtxnohagcylm,unknown,unknown,unknown
463,opzrewdaknoqioxck,unknown,unknown,unknown
464,gkq,unknown,unknown,unknown
465,almvpbje,unknown,unknown,unknown
466,vcijlmzuwlmxyvkdfhx,unknown,unknown,unknown
467,hjzlmiodpqfpn,unknown,unknown,unknown
468,lmlmbaknspfshv,unknown,unknown,unknown
469,what about yellow body,Check Availability,yellow,body
470,oqntlmjtizuvn,unknown,unknown,unknown
471,wownfpbusa,unknown,unknown,unknown
472,toqbzriesqoxp,unknown,unknown,unknown
473,jrdyfsdzlm,unknown,unknown,unknown
474,foighuiy,unknown,unknown,unknown
475,hduqklmocjggj,unknown,unknown,unknown
476,xnepjs,unknown,unknown,unknown
477,nlmeiywruwe,unknown,unknown,unknown
478,rygsn,unknown,unknown,unknown
479,iynqzftrzrfc,unknown,unknown,unknown
480,nrrt,unknown,unknown,unknown
481,some brown dress,Check Availability,brown,dress
482,spnbwrhelm,unknown,unknown,unknown
483,lmcn,unknown,unknown,unknown
484,zgsyyst,unknown,unknown,unknown
485,voitydjrxfygtzkic,unknown,unknown,unknown
486,nzddjnoceoo,unknown,unknown,unknown
487,fcciuqwoysgsecj,unknown,unknown,unknown
488,hhosdfzw,unknown,unknown,unknown
489,lmiprawehw,unknown,unknown,unknown
490,I need to add a pantalon do you still have,Making Order,unknown,pantalon
491,do you have a yellow pantalon,Check Availability,yellow,pantalon
492,breh,unknown,unknown,unknown
493,xresajktxx,unknown,unknown,unknown
494,xxffzsiohwr,unknown,unknown,unknown
495,noqj,unknown,unknown,unknown
496,aqjyryavew,unknown,unknown,unknown
497,uspw,unknown,unknown,unknown
498,nulmchyxgjbfvufnya,unknown,unknown,unknown
499,euuzrvoid,unknown,unknown,unknown
500,I would like to add a pullover can i find,Making Order,unknown,pullover
501,I'd like to order a dress do you have,Making Order,unknown,dress
502,rrbsbvzrlmdntqo,unknown,unknown,unknown
503,erjipycbryxtbbcxcy,unknown,unknown,unknown
504,kjwxtwfevntfohxxs,unknown,unknown,unknown
505,rowvtdntrgvxvlmxfr,unknown,unknown,unknown
506,udbnwhdwusdflmybcva,unknown,unknown,unknown
507,pnoxt,unknown,unknown,unknown
508,nawelmqxayjx,unknown,unknown,unknown
509,ur,unknown,unknown,unknown
510,qnsfgazhjqlmitpyj,unknown,unknown,unknown
511,ngtrsl,unknown,unknown,unknown
512,what about the cyan dress,Check Availability,cyan,dress
513,how much does a white t-shirt cost,Asking for the price,white,t-shirt
514,fywalm,unknown,unknown,unknown
515,iifwbn,unknown,unknown,unknown
516,eapxtvjcf,unknown,unknown,unknown
517,lmexqfbzso,unknown,unknown,unknown
518,xrnbxgcuccphdstbipk,unknown,unknown,unknown
519,zwdhwtfyfzp,unknown,unknown,unknown
520,iaijsfpwvpt,unknown,unknown,unknown
521,cazbxuzazxvxrslmt,unknown,unknown,unknown
522,zdbwl,unknown,unknown,unknown
523,ccerxefanvrb,unknown,unknown,unknown
524,ylmzkdu,unknown,unknown,unknown
525,qnpq,unknown,unknown,unknown
526,zfvnovs,unknown,unknown,unknown
527,may i ask for a brown jeans,Check Availability,brown,jeans
528,is there a purple body,Check Availability,purple,body
529,gyjpqatxfz,unknown,unknown,unknown
530,udgtkdhyxyhkelm,unknown,unknown,unknown
531,tjjhx,unknown,unknown,unknown
532,I'd like to buy a jacket may i ask for,Making Order,unknown,jacket
533,qdrkjycasi,unknown,unknown,unknown
534,may i ask for a red pullover,Check Availability,red,pullover
535,cvdecwxz,unknown,unknown,unknown
536,pesavvbrnkgttybq,unknown,unknown,unknown
537,tkcz,unknown,unknown,unknown
538,ooqdrnujbgpkucnlm,unknown,unknown,unknown
539,dsbncerhs,unknown,unknown,unknown
540,ktpjbhwgv,unknown,unknown,unknown
541,zhlmekizilm,unknown,unknown,unknown
542,cacn,unknown,unknown,unknown
543,vwhnucuadxveson,unknown,unknown,unknown
544,hjwapztn,unknown,unknown,unknown
545,bxjg,unknown,unknown,unknown
546,I'd like to take a is there,Making Order,unknown,unknown
547,what about the blue dress,Check Availability,blue,dress
548,nalmztqowoatqne,unknown,unknown,unknown
549,xurbinucdwwcxa,unknown,unknown,unknown
550,vcd,unknown,unknown,unknown
551,youhugxdarexwbf,unknown,unknown,unknown
552,tukojiqcbvpqbuutnve,unknown,unknown,unknown
553,kvrgudanstgqygrb,unknown,unknown,unknown
554,yatfdfjxvi,unknown,unknown,unknown
555,iwueek,unknown,unknown,unknown
556,lmafbskv,unknown,unknown,unknown
557,wbwhrbscd,unknown,unknown,unknown
558,avstohizvhjt,unknown,unknown,unknown
559,ulmgflmncodtytyc,unknown,unknown,unknown
560,I would like to order a pantalon do you have,Making Order,unknown,pantalon
561,is there available a green chemise,Check Availability,green,chemise
562,zvtaevqanqywckv,unknown,unknown,unknown
563,dge,unknown,unknown,unknown
564,zykyacgbidjeywy,unknown,unknown,unknown
565,lmxinytsrqftu,unknown,unknown,unknown
566,lmgdvwpjkpuv,unknown,unknown,unknown
567,buionysjsurwclmpylm,unknown,unknown,unknown
568,zqzuggnzeozq,unknown,unknown,unknown
569,gvdeyqkh,unknown,unknown,unknown
570,I need to order a t-shirt do you still have,Making Order,unknown,t-shirt
571,pnhwgpkqiwb,unknown,unknown,unknown
572,I'd like to buy a hat is there available,Making Order,unknown,hat
573,xtx,unknown,unknown,unknown
574,ubkznqsqvhtbwgav,unknown,unknown,unknown
575,gbtedovl,unknown,unknown,unknown
576,ovqhlmtilmkyn,unknown,unknown,unknown
577,what about the purple body,Check Availability,purple,body
578,iowxfgwfbhwiwpv,unknown,unknown,unknown
579,aseqcowji,unknown,unknown,unknown
580,iuwczl,unknown,unknown,unknown
581,pcuxhfcsxbbxfpvw,unknown,unknown,unknown
